"sector","size","count","ranking"
"Accounting & Legal","Small","2","1"
"Aerospace & Defense","Small","2","4"
"Aerospace & Defense","Medium","7","3"
"Aerospace & Defense","Large","8","2"
"Aerospace & Defense","Enterprise","14","1"
"Agriculture & Forestry","Enterprise","1","1"
"Agriculture & Forestry","Medium","1","1"
"Biotech & Pharmaceuticals","Small","2","4"
"Biotech & Pharmaceuticals","Medium","13","3"
"Biotech & Pharmaceuticals","Large","16","2"
"Biotech & Pharmaceuticals","Enterprise","17","1"
"Business Services","Enterprise","12","4"
"Business Services","Small","17","3"
"Business Services","Large","22","2"
"Business Services","Medium","41","1"
"Construction, Repair & Maintenance","Large","1","1"
"Consumer Services","Medium","1","1"
"Education","Large","2","1"
"Finance","Small","1","4"
"Finance","Enterprise","4","3"
"Finance","Medium","9","2"
"Finance","Large","10","1"
"Government","Small","1","4"
"Government","Medium","2","3"
"Government","Large","4","2"
"Government","Enterprise","5","1"
"Health Care","Medium","2","4"
"Health Care","Small","3","3"
"Health Care","Enterprise","6","2"
"Health Care","Large","7","1"
"Information Technology","Enterprise","19","4"
"Information Technology","Small","20","3"
"Information Technology","Large","31","2"
"Information Technology","Medium","64","1"
"Insurance","Medium","4","3"
"Insurance","Enterprise","8","2"
"Insurance","Large","13","1"
"Manufacturing","Large","4","3"
"Manufacturing","Medium","5","2"
"Manufacturing","Enterprise","7","1"
"Media","Large","1","2"
"Media","Medium","3","1"
"Non-Profit","Medium","1","1"
"Oil, Gas, Energy & Utilities","Medium","1","2"
"Oil, Gas, Energy & Utilities","Enterprise","1","2"
"Oil, Gas, Energy & Utilities","Large","4","1"
"Real Estate","Medium","1","2"
"Real Estate","Large","2","1"
"Retail","Small","1","3"
"Retail","Enterprise","2","2"
"Retail","Large","3","1"
"Telecommunications","Large","1","2"
"Telecommunications","Enterprise","3","1"
"Transportation & Logistics","Medium","1","2"
"Transportation & Logistics","Large","2","1"
"Transportation & Logistics","Enterprise","2","1"
"Travel & Tourism","Medium","1","1"
"Travel & Tourism","Large","1","1"
