"state","sector","count","ranking"
"Alabama","Aerospace & Defense","1","1"
"Arizona","Business Services","2","1"
"Arizona","Real Estate","1","2"
"Arizona","Health Care","1","2"
"California","Information Technology","46","1"
"California","Business Services","16","2"
"California","Biotech & Pharmaceuticals","12","3"
"California","Health Care","5","4"
"California","Manufacturing","3","5"
"California","Insurance","3","5"
"California","Government","3","5"
"California","Real Estate","2","6"
"California","Retail","2","6"
"California","Media","2","6"
"California","Finance","2","6"
"California","Agriculture & Forestry","1","7"
"California","Telecommunications","1","7"
"California","Aerospace & Defense","1","7"
"California","Transportation & Logistics","1","7"
"Colorado","Business Services","3","1"
"Colorado","Aerospace & Defense","2","2"
"Colorado","Information Technology","1","3"
"Colorado","Travel & Tourism","1","3"
"Connecticut","Insurance","2","1"
"Connecticut","Information Technology","1","2"
"Delaware","Biotech & Pharmaceuticals","1","1"
"District of Columbia","Information Technology","6","1"
"District of Columbia","Business Services","4","2"
"District of Columbia","Telecommunications","1","3"
"District of Columbia","Consumer Services","1","3"
"District of Columbia","Government","1","3"
"District of Columbia","Finance","1","3"
"Florida","Finance","3","1"
"Florida","Business Services","2","2"
"Florida","Aerospace & Defense","1","3"
"Georgia","Information Technology","3","1"
"Georgia","Business Services","2","2"
"Georgia","Finance","2","2"
"Illinois","Business Services","9","1"
"Illinois","Information Technology","5","2"
"Illinois","Biotech & Pharmaceuticals","3","3"
"Illinois","Manufacturing","2","4"
"Illinois","Transportation & Logistics","1","5"
"Illinois","Telecommunications","1","5"
"Illinois","Finance","1","5"
"Indiana","Insurance","3","1"
"Indiana","Transportation & Logistics","1","2"
"Indiana","Biotech & Pharmaceuticals","1","2"
"Iowa","Finance","1","1"
"Kansas","Health Care","1","1"
"Louisiana","Information Technology","1","1"
"Maryland","Information Technology","8","1"
"Maryland","Biotech & Pharmaceuticals","8","1"
"Maryland","Aerospace & Defense","4","2"
"Maryland","Business Services","4","2"
"Maryland","Finance","1","3"
"Maryland","Media","1","3"
"Maryland","Health Care","1","3"
"Massachusetts","Biotech & Pharmaceuticals","12","1"
"Massachusetts","Information Technology","9","2"
"Massachusetts","Business Services","4","3"
"Massachusetts","Aerospace & Defense","3","4"
"Massachusetts","Insurance","3","4"
"Massachusetts","Finance","1","5"
"Massachusetts","Oil, Gas, Energy & Utilities","1","5"
"Massachusetts","Retail","1","5"
"Massachusetts","Government","1","5"
"Massachusetts","Manufacturing","1","5"
"Massachusetts","Health Care","1","5"
"Michigan","Business Services","1","1"
"Michigan","Information Technology","1","1"
"Michigan","Construction, Repair & Maintenance","1","1"
"Minnesota","Manufacturing","1","1"
"Minnesota","Business Services","1","1"
"Mississippi","Information Technology","1","1"
"Missouri","Business Services","3","1"
"Missouri","Biotech & Pharmaceuticals","2","2"
"Missouri","Insurance","2","2"
"Missouri","Information Technology","1","3"
"Missouri","Telecommunications","1","3"
"Nebraska","Transportation & Logistics","1","1"
"Nebraska","Information Technology","1","1"
"New Hampshire","Business Services","1","1"
"New Hampshire","Insurance","1","1"
"New Jersey","Information Technology","3","1"
"New Jersey","Biotech & Pharmaceuticals","2","2"
"New Jersey","Insurance","1","3"
"New Jersey","Business Services","1","3"
"New Jersey","Health Care","1","3"
"New York","Business Services","11","1"
"New York","Information Technology","11","1"
"New York","Insurance","4","2"
"New York","Manufacturing","1","3"
"New York","Media","1","3"
"New York","Accounting & Legal","1","3"
"New York","Health Care","1","3"
"New York","Finance","1","3"
"New York","Biotech & Pharmaceuticals","1","3"
"New York","Travel & Tourism","1","3"
"New York","Retail","1","3"
"North Carolina","Manufacturing","2","1"
"North Carolina","Insurance","2","1"
"North Carolina","Biotech & Pharmaceuticals","1","2"
"North Carolina","Business Services","1","2"
"North Carolina","Information Technology","1","2"
"Ohio","Business Services","2","1"
"Ohio","Agriculture & Forestry","1","2"
"Ohio","Finance","1","2"
"Ohio","Manufacturing","1","2"
"Ohio","Government","1","2"
"Ohio","Insurance","1","2"
"Ohio","Health Care","1","2"
